Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Ingredient 10,Ingredient 11,Ingredient 12,Ingredient 13,Ingredient 14,Ingredient 15,Ingredient 16,Ingredient 17,Ingredient 18,Ingredient 19,Ingredient 20,Ingredient 21,Ingredient 22,Ingredient 23,Ingredient 24,Ingredient 25,Ingredient 26,Ingredient 27,Ingredient 28,Ingredient 29,Ingredient 30,Ingredient 31,Ingredient 32,Ingredient 33,Ingredient 34,Ingredient 35,Ingredient 36,Ingredient 37,Ingredient 38,Ingredient 39,Ingredient 40,Ingredient 41,Ingredient 42,Ingredient 43,Ingredient 44,Ingredient 45,Ingredient 46,Ingredient 47,Ingredient 48,Ingredient 49,Ingredient 50,Ingredient 51,Ingredient 52,Ingredient 53,Ingredient 54,Ingredient 55,Ingredient 56,,,,,
7891150064980,JABON DE TOCADOR DOVE NUTRITIVE SECRETS,90 gr,Cuidado Personal;Cuidado Corporal;Jabones,,27,Sodium lauroyl isethionate,stearic acid,sodium stearate,sodium oleate,sodium palmitate,sodium linoleate,sodium laurate,sodium myristate,lauric acid,aqua,sodium isethionate,cocamidopropyl betaine,parfum,sodium chloride,titanium dioxide,zinc oxide,propylene glicol,tetrasodium etidronate,tetrasodium EDTA,CI 15985,CI 61570,camellia sinensis leaf extract,camellia sinensis leaf extract,benzyl salicylate,hexyl cinnamal,limonene,linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509552800098,AGUA MICELAR BIFASICA L´OREAL PARIS,200 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Se aclara que hay test clinico Probado en piel sensible bajo control dermatologico y oftalmologico,10,Aqua/water,cyclopentasiloxane,isohexadecane,potassium phosphate,sodium chloride,hexylene glycol,dipotassium phosphate,disodium EDTA,decyl glucoside,polyaminopropyl biguanide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293036168,TALCO REXONA EFFICIENT P/PIES,200 gr,Cuidado Personal;Cuidado Corporal;Manos y Pies,Testeo in vitro realizado con M luteus y S aureus Producto cosmetico sin accion terapeutica ENVASE: Plastico 7,10,TALC,ZEA MAYS STARCH,ZINC OXIDE,PARFUM,BENZALKONIUM CHLORIDE,DISODIUM EDTA,BENZYL SALICYLATE,CITRONELLOL,HEXYL CINNAMAL,LIMONENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899846091944,Ekos Pitanga Natura Pulpa hidratante para manos,75 gr,Cuidado Personal;Cuidado Corporal;Manos y Pies,ENVASE: 20% del empaque realizado en material reciclado post-consumo 70% del producto con ingredientes de origen vegetal,27,Aqua,GLYCERIN,CETEARYL ALCOHOL,SORBITOL,SODIUM ACRYLATES COPOLYMER,DICAPRYLYL ETHER,MYRISTYL THEOBROMA GRANDIFLORUM SEEDATE,PHENOXYETHANOL,PARFUM,ASTROCARYUM MURUMURU SEED,BUTTER,PROPYLHEPTYL CAPRYLATE,LECITHIN,DMDM HYDANTOIN,DISODIUM EDTA,BHT,EUGENIA UNIFLORA LEAF OIL,CI 15510,TBHQ,TOCOPHEROL,CI 14700,SODIUM CHLORIDE,HEXYLCINNAMAL,BENZYL SALICYLATE,CITRAL,GERANIOL,CITRONELLOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77942333,ANTITRANSPIRANTE DOVE GO FRESH,50 ml,Cuidado Personal;Cuidado Corporal;Desodorante de Hombre,No contiene alcohol etilico,14,Aqua,ALUMINUM CHLOROHYDRATE,HELIANTHUS ANNUS SEED OIL,ALYCERIN,STEARETH-2,PARFUM,STEARETH-20,DISODIUM EDTA,TOCOPHERYL ACETATE,ALPHA-ISOMETHYL IONONE,BUTYLPHENYL METHYLPROPIONAL,CITRONELLOL,COUMARIN,HEXYL CINNAMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509552800418,Elvive Acondicionador Arcilla Purificante Elvive Loreal Parí­s,400 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,26,AQUA / WATER,CETEARYL ALCOHOL,BEHENTRIMONIUM CHLORIDE,GLYCINE SOJA OIL/ SOYBEAN OIL,CETYL ESTERS,SODIUM HYALURONATE,PHENOXYETHANOL,ARGILLA,MAGNESIUM ALUMINUM SILICATE,CHLORHEXIDINE DIHYDROCHLORIDE,SALICYLIC ACID,LINALOOL,BENZYL ALCOHOL,BENZYL SALICYLATE,MONTMORILLONITE,ISOPROPYL ALCOHOL,KAOLIN,ALPHA-ISOMETHYL IONONE,GERANIOL,BHT,CITRIC ACID,CITRONELLOL,HEXYL CINNAMAL,GLYCERIN,PARFUM/FRAGRANCE,CODE FIL: C180281/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798096056812,Jabon Glicerina neutro Estilo Spa,,Cuidado Personal;Cuidado Corporal;Jabones,,14,Sodium Stearate,Oleate,Palmitate,Linoleate,Laurate,Myristate,Caprylate,Water,Tetrasodium EDTA,BHT,Glycerin,Sucrosa,Cocamidopropyl Betaine,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7794640630507,Antitranspirante bolilla Etiquet Men,60 gr,Cuidado Personal;Cuidado Corporal;Desodorante de Hombre,"En Fragance aclara: contiene Coumarin, Eugenol, Limonene y Linalool",11,Aqua,Aluminum Chlorohydrate,Steareth-2,Dimethicone,PPG-15 Stearyl ether,Steareth-20,Fragance,Isopropyl palmitate,Methylparaben,BHT,Calcium Disodium EDTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005800137556,NIVEA Crema Hidratante en Lata,150 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,22,Aqua,Paraffinum Liquidum,Cera Microcristallina,Glycerin,Lanolin Alcohol,Paraffin,Panthenol,Magnesium Sulfate,Decyl Oleate,Octyldodecanol,Aluminum Stearates,Citric Acid,Magnesium Stearate,Sodium Anisate,Limonene,Geraniol,Hydroxycitronellal,Linalool,Citronella,Benzyl Benzoate,Cinnamyl Alcohol,Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7891150051553,"Shampoo Tresemmé detox capilar, con té verde, jengibre y proteí­na de trigo",,Cuidado Personal;Cuidado del Cabello;Shampoo,Sin adicion de parabenos y colorantes,22,Aqua,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Parfum,Polyquaternium-10,DMDM Hydantoin,Disodium EDTA,Methylchloroisothiazolinone,Methylisothiazolinone,Camellia sinensis Leaf Extract,Hydrolised Wheat Protein,Zingiber officinale Root Extract,Alpha-isomethyl ionone,Benzyl Alcohol,Butylphenyl Methylpropional,Coumarin,Hexyl Cinnamal,Limonene,Linalool,Sodium Chloride,Citric Acid,Sodium Hidroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500435106412,Acondicionador PANTENE 3MIN HIDRATACION EXTREMA,170 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,18,Aqua,Glycerin,Stearyl Alcohol,Bis-aminopropyl Dimethicone,Behentrimonium Methosulfate,Cetyl Alcohol,Parfum,Dicetyldimonium Chloride,Benzyl Alcohol,Disodium EDTA,Histidine,Panthenol,Panthenyl Ethyl Ether,Citric Acid,Hexyl Cinnamal,Hydroxycitronellal,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790740505578,Plusbelle Shampoo Lacio,1000 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,,26,Aqua,Sodium Laureth sulfate,sodium C-12-13 Pareth Sulfate,Cocamide DEA,Oleamida DEA,Sodium Chloride,Glycol Stearate,Parfum,DMDM Hydantoin,Citric Acid,Hydrolized Keratin,Tetrasodium EDTA,Aqua,Propulene Glycol,Alcohol,Sodium PCA,Glycine,Serine,Medicago sativa extract,Humulus lupulus extract,CI 19140,Methylchloroisothiazolinone,Methylisothiazolinone,CI 16035,butylphenyl methylpropional,Hexyl Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
