ingredient 1,ingredient 2,ingredient 3,ingredient 4,ingredient 5,ingredient 6,ingredient 7,ingredient 8,ingredient 9,ingredient 10,ingredient 11,ingredient 12,ingredient 13,ingredient 14,ingredient 15,ingredient 16,ingredient 17,ingredient 18,ingredient 19,ingredient 20,ingredient 21,ingredient 22,ingredient 23,ingredient 24,ingredient 25,ingredient 26,ingredient 27,ingredient 28,ingredient 29,ingredient 30,ingredient 31,ingredient 32,ingredient 33,ingredient 34,ingredient 35,ingredient 36,ingredient 37,ingredient 38,ingredient 39,ingredient 40,ingredient 41,ingredient 42,ingredient 43,ingredient 44,ingredient 45,ingredient 46,ingredient 47,ingredient 48,ingredient 49,ingredient 50,ingredient 51,ingredient 52,ingredient 53,ingredient 54,ingredient 55,ingredient 56
Aqua,Cocamidopropyl betaine,Caco-Glucoside,Sodium Methyl 2 Sulfolaurate/Disodium 2-Sulfolaurate,Cetyl Betaine,Citric Acid,Polyquaternium-7,Sodium benzoate,Parfum,Tetrasodium Glutamate Diacetate,Tetrasodium EDTA,Propylene Glycol,Rosmarinus Officinalis leaf Extract,Melanin,CI 17200,CI 16035,CI 42090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Fluoride,Potassium nitrate,aqua,hydrated silica,glycerin,pentasodium triphosphate,PEG-6,PEG-2,Aroma,Titanium dioxide,sodium methyl cocoyl taurate,cocamidopropyl betaine,xanthan gum,sodium hydroxide,sodium saccharin,contiene fluoruro de sodio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,Glycerin,cocamidopropylbetaine,sodium glycinate,polyacrylate-33,parfum,tallowate,tetrasodium EDTA,sodium isethionate,sodium stearate,cocos nucifera oil,sodium cocoate,sodium plamkernelate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,cetearyl alcohol,stearamidopropyl dimethylamine,dimethiconol,behentrimonium chloride,phenoxyethanol,sodium benzoate,lactic acid,potassium chloride,parfum,disodium EDTA,glycerin,PEG-150 distearate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua,Alcohol,Parfum,Benzyl Alcohol,Benzyl Benzoate,Benzyl Salicylate,Butylphenyl Methylpropional,Citronellol,Geraniol,Hydroxycitronellal,Isoeugenol,d-limonene,Linalool,CI 47005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium lauroyl isethionate,stearic acid,sodium stearate,sodium oleate,sodium palmitate,sodium linoleate,sodium myristate,aqua,sodium isethionate,lauric acid,cocamidopropyl betaine,parfum,sodium chloride,titanium dioxide,zinc oxide,tetrasodium EDTA,etidronic acid,alpha-isometyl ionone,butylphenyl methylpropional,citronellol,coumarin,hexyl cinnamal,limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium lauroyl isethionate,stearic acid,sodium stearate,sodium oleate,sodium palmitate,sodium linoleate,sodium laurate,sodium myristate,lauric acid,aqua,sodium isethionate,cocamidopropyl betaine,parfum,sodium chloride,titanium dioxide,zinc oxide,propylene glicol,tetrasodium etidronate,tetrasodium EDTA,CI 15985,CI 61570,camellia sinensis leaf extract,camellia sinensis leaf extract,benzyl salicylate,hexyl cinnamal,limonene,linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua/water,cyclopentasiloxane,isohexadecane,potassium phosphate,sodium chloride,hexylene glycol,dipotassium phosphate,disodium EDTA,decyl glucoside,polyaminopropyl biguanide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALC,ZEA MAYS STARCH,ZINC OXIDE,PARFUM,BENZALKONIUM CHLORIDE,DISODIUM EDTA,BENZYL SALICYLATE,CITRONELLOL,HEXYL CINNAMAL,LIMONENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,GLYCERIN,CETEARYL ALCOHOL,SORBITOL,SODIUM ACRYLATES COPOLYMER,DICAPRYLYL ETHER,MYRISTYL THEOBROMA GRANDIFLORUM SEEDATE,PHENOXYETHANOL,PARFUM,ASTROCARYUM MURUMURU SEED,BUTTER,PROPYLHEPTYL CAPRYLATE,LECITHIN,DMDM HYDANTOIN,DISODIUM EDTA,BHT,EUGENIA UNIFLORA LEAF OIL,CI 15510,TBHQ,TOCOPHEROL,CI 14700,SODIUM CHLORIDE,HEXYLCINNAMAL,BENZYL SALICYLATE,CITRAL,GERANIOL,CITRONELLOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
