ingredient 1,ingredient 2,ingredient 3,ingredient 4,ingredient 5,ingredient 6,ingredient 7,ingredient 8,ingredient 9,ingredient 10,ingredient 11,ingredient 12,ingredient 13,ingredient 14,ingredient 15,ingredient 16,ingredient 17,ingredient 18,ingredient 19,ingredient 20,ingredient 21,ingredient 22,ingredient 23,ingredient 24,ingredient 25,ingredient 26,ingredient 27,ingredient 28,ingredient 29,ingredient 30,ingredient 31,ingredient 32,ingredient 33,ingredient 34,ingredient 35,ingredient 36,ingredient 37,ingredient 38,ingredient 39,ingredient 40,ingredient 41,ingredient 42,ingredient 43,ingredient 44,ingredient 45,ingredient 46,ingredient 47,ingredient 48,ingredient 49,ingredient 50,ingredient 51,ingredient 52,ingredient 53,ingredient 54,ingredient 55,ingredient 56
Emulsion hidrosoluble,colaide,cascara de almendras trituradas,glicerina vegetal,te verde,hamamelis,esencias,rosa de mosqueta,bamboo,tea tree,euxyl pe9010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUA,CETEARETH 20,GLYCERIN,PROPYLENE GLYCOL,ARCTIUM MAJUS ROOT EXTRACT,JUNIPERUS COMMUNIS FRUIT EXTRACT,GENTIANA LUTEA ROOT EXTRACT,citronellol,Thymus vulgaris (tomillo/thyme) extract,CITRUS MEDICA LIMONUM PEEL EXTRACT,POLYACRYLATE CROSSPOLYMER 6,CHAMOMILLA RECUTITA FLOWER EXTRACT,PHENYL SALICYLATE,CHLOROXYLENOL,PHENOXYETHANOL,FARNESOL,DIBROMOHEXAMIDINE ISETHIONATE,METHYLISOTHIAZOLINONE,PEG 40,HYDROGENATED CASTOR OIL,ETHANOL,CHLORPHENESIN,WATER,CYMBOPOGON CITRATUS,COCAMIDO PROPYL BETAINE,CETEARYL ALCOHOL,leaf extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite de jojoba,Argania Spinosa Oil,Melaleuca alternifolia (Tea Tree) leaf oil,,aceites esenciales,,vitamina e,fenoxietanol,Ethylhexylglycerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitoqueratina,Colágeno,Elástina,Proteína Hidrolizada de Seda,Silicona Vegetal,Aceite de Zanahoria y Macadamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER,GLYCERIN,POLYSORBATE 20,CUCUMIS SATIVUS EXTRACT,CHAMOMILLA RECUTITA EXTRACT,ALOE BARBADENSIS LEAF EXTRACT,PHENOXYETHANOL,CALCIUM DISODIUM EDTA,DISODIUM PHOSPHATE,SODIUM PHOSPHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER,GLYCERETH 26,PANTHENOL,PHENOXYETHANOL,SODIUM HYALURONATE,SODIUM PCA,LACTIC ACID,UREA,GLYCINE,NIACINAMIDE,DMDM HYDANTOIN,ALLANTOIN,ALANINE,SERINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER,CAPRIC TRIGLYCERIDE,GLYCERIN,HAMAMELIS VIRGINIANA EXTRACT,MALVA SYLVESTRIS EXTRACT,CALENDULA OFFICINALIS EXTRACT,CHAMOMILLA RECUTITA EXTRACT,ALOE BARBADENSIS LEAF EXTRACT,CAMELLIA SINENSIS LEAF EXTRACT,GLYCERYL STEARATE SE,PHENOXYETHANOL,CARBOMER,POLYSORBATE 20,CETEARYL ALCOHOL,CETEARETH 2O,PRUNUS AMYGDALUS DULCIS OIL,SIMMONDSIA CHINENSIS OIL,CALCIUM DISODIUM EDTA,PHOSPHOLIPIDS,XANTHAN GUM,BUTYROSPERMUM PARKII BUTTER,FRAGANCE,BISABOLOL,DMDM HYDANTOIN,IMIDAZOLIDINYL UREA,TOCOPHERYL ACETATE,BETA CAROTENE,METHYLSILANOL MANNURONATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGUA,Glyceryl Stearate SE,ALCOHOL CETEARÍLICO,coco caprylate,caprylic,ACEITE DE COCO NUCIFERA,GLICERINA,CETEARETH 20,theobroma cacao extract,mangifera indica seed butter,sorbitan caprylate,ALOE BARBADENSIS,theobroma cacao seed butter,POLISORBATO 20,FOSFOLIPIDOS,BUTYROSPERMUM PARKII BUTTER,FRAGANCIA,CAPRYLYL GLYCOL,DISODIUM EDTA,CARBOMER,PROPANEDIOL,BENZOIC ACID,CARAMEL,BHT,RETINYL PALMITATE,ALCOHOL,benzoato de sodio,FOSFATO DE POTASIO,cocoa,soy lecithin,manteca de karité,,,,,,,,,,,,,,,,,,,,,,,,,
WATER,CAPRIC TRIGLYCERIDE,PROPANEDIOL,ROSA DAMASCENA FLOWER WATER EXTRACT,DECYL GLUCOSIDE,PHENOXYETHANOL,C10 30 ALKYL ACRYLATE CROSSPOLYMER,CALCIUM DISODIUM EDTA,GLYCERIN,HAMAMELlS VIRGINIANA EXTRACT,ALLANTOIN,FRAGANCE,PANTHENOL,SODIUM HYALURONATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water,Cocamidopropyl betaine,Cocamide DEA,PEG-150 Distearate,Glycerin,Cocos Nucifera Oil / Coconut Oil,Polysorbate 20,Phenoxyethanol,PEG-40 Hydrogenated Castor Oil,Chlorphenesin,PHENYL SALICYLATE,Farnesol,Chloroxylenol,Dibromohexamidine Isethionate,polyaminopropyl biguanide,Bambusa Arundinacea Stem Extract,Fragrance,EDTA,Linalool,D-Limonene,Hexyl cinnamal,Benzyl Alcohol,Citral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUA / WATER,HEXYLENE GLYCOL,GLYCERIN,ALCOHOL DENAT,POLOXAMER 184,DISODIUM COCOAMPHODIACETATE,DISODIUM EDTA,BHT,Myrtrimonium Bromide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Ethylhexyl Methoxycinnamate,Stearic Acid,Mineral Oil,Butyl Methoxydibenzoylmethane,Cyclomethicone,Cyclopentasiloxane,Dimethicone Crosspolymer,Dimethicone,Trimethylsiloxysilicate,Cetearyl Alcohol,Ceteareth-20,Glycerin,Ethylhexyl Triazone,Panthenol,Isopropyl Lanolate,Tocopheryl Acetate,Imidazolidinyl Urea,Triethanolamine,Methylparaben,Carbomer,Propylparaben,Fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Cyclomethicone,C12-15 Alkyl Benzoate,Glyceryl Stearate SE,Propylene Glycol,Saccharide Isomerate,Cetyl Alcohol,Butyrospermum Parkii (Shea Butter),Ethylhexyl Palmitate,Luffa Cylindrica Seed Oil,Glycerin,Aluminum Starch Octenyl-Succinate,Panthenol,PEG-100 Stearate,Glyceryl Stearate,Tocopheryl Acetate,Imidazolidinyl Urea,Xanthan Gum,Carbomer,Dimethicone,Disodium EDTA,Methylparaben,Fragrance,Retinyl Palmitate,Sodium Hydroxide,Propylparaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Cyclopentasiloxane,Dimethicone Crosspolymer,Dimethicone/Vinyl Dimethicone Crosspolymer,Dimethiconol,Ethylhexyl Methoxycinnamate,Methylsilanol Mannuronate,Siloxanetriol Alginate,Caffeine,Butylene Glycol,Cyclomethicone,Hydroxyethyl Urea,Neopentyl Glycol Diheptanoate,Ethylhexyl Triazone,Propylene Glycol,Saccharide Isomerate,Butyl Methoxydibenzoylmethane,Caprylic/Capric Triglyceride,Glycerin,Glyceryl Stearate,PEG-100 Stearate,Methyl Methacrylate Crosspolymer,Potassium Cetyl Phosphate,Tocopheryl Acetate,Steareth-20,Hydroxysuccinimide,Chrysin,Palmitoyl Oligopeptide,Palmitoyl Tetrapeptide-3,Cetyl Alcohol,Squalane,Imidazolidinyl Urea,Xanthan Gum,Sodium Hyaluronate,Dimethicone,Disodium EDTA,Methylparaben,Bisabolol,Tocopherol,Potassium Hydroxide,Retinyl Palmitate,Carbomer,BHT,Propylparaben,,,,,,,,,,,,
Water,Isohexadecane,Dimethicone,Cyclomethicone,Hexylene Glycol,Lauryl methyl gluceth-10 hydroxypropyldimonium,Sodium Chloride,Dimethylsilanol Hyaluronate,Panthenol,Bisabolol,Allantoin,Phenoxyethanol,Disodium EDTA,Disodium Phosphate,Methylparaben,BHT,Butylparaben,Ethylparaben,Propylparaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Sodium Laureth Sulfate,Sodium Coceth Sulfate,PEG-40 Glyceryl Cocoate,Alcohol,PPG-2 Hydroxyethyl Cocamide,Glycerin,Hydroxypropyl methylcellulose,Menthyl Lactate,PEG-8,Caprylyl Glycol,Sodium Polyacrylate,Sebacic Acid,Phenoxyethanol,Allantoin,Disodium EDTA,Panthenol,Methylparaben,Citric Acid,Butylparaben,Ethylparaben,Fragrance,Propylparaben,BHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Caprylhydroxamic Acid,1,2-Hexanediol,Butylene Glycol,PEG-40 Hydrogenated Castor Oil,Methyl Gluceth-20,Oleth-10,Oleth-20,Allantoin,Sodium Citrate,Fragrance,Disodium EDTA,Bisabolol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Mica,Titanium Dioxide,Ethylhexyl Methoxycinnamate,Hydroxyethyl Urea,Undecane,Tridecane,Propylene Glycol,Apricot Kernel Oil,Benzophenone-3,Butyl Methoxydibenzoylmethane,Nylon-12,Oyrza Sativa Bran Oil,Potassium Cetyl Phosphate,Iron Oxide,Isopropyl Titanium Triisostearate,Acrylates/Steareth-20 Methacrylate Copolymer,Cetearyl Alcohol,Phenoxyethanol,Tocopheryl Acetate,Iron Oxide,Xanthan Gum,PEG-2 Stearate,Allantoin,Fragrance,Iron Oxide,Triethoxycaprylylsilane,Disodium EDTA,Ethylhexylglycerin,Tocopherol,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Ethylhexyl Methoxycinnamate,Hydroxyethyl Urea,Mica,Titanium Dioxide,Isopropyl Titanium Triisostearate,Undecane,Tridecane,Propylene Glycol,Apricot Kernel Oil,Benzophenone-3,Butyl Methoxydibenzoylmethane,Iron Oxide,Nylon-12,Oyrza Sativa Bran Oil,Potassium Cetyl Phosphate,Cetearyl Alcohol,Acrylates/Steareth-20 Methacrylate Copolymer,Phenoxyethanol,Iron Oxide,Tocopheryl Acetate,Xanthan Gum,PEG-2 Stearate,Allantoin,Fragrance,Iron Oxide,Triethoxycaprylylsilane,Sodium Hyaluronate,Disodium EDTA,Ethylhexylglycerin,Tocopherol,,,,,,,,,,,,,,,,,,,,,,,,,
Buxus Chinensis Oil,Water,Sodium Cocoamphoacetate,Benzyl Alcohol,Benzoic Acid,Matriarca Chamomilla Oil,Geraniol,D-Limonene,Linalool,Citronellol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Buxus Chinensis Oil,Carya Illinoensis Oil,Beeswax,Cetearyl alcohol,Sucrose Cocoate,Benzyl alcohol,Benzoic Acid,Lavandula Officinalis Leaf Oil,Pelargonium Graveolens Flower Oil,Citronelool,Geraniol,Citral,Farnesol,Linalool,Limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Carya Illinoensis Oil,Rosehip Seed Oil,Buxus Chinensis Oil,Beeswax,Cetearyl alcohol,Sucrose Cocoate,Benzyl alcohol,Benzoic Acid,Lavandula Officinalis Leaf Oil,Cymbopogon Martinii Oil,Linalool,Limonene,citral,farnesol,geraniol,Limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oleato de jojoba con jarilla,cera de abeja,tintura madre de caléndula,aceite esencial de tea tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite de oliva virgen,aceite de coco,manteca de karité,vitamina e,hidróxido de sodio,agua destilada,sal,esencia de maderas,esencia de salvia,óxidos color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUA,GLYCERIN,ALCOHOL DENAT,DIPROPYLENE GLYCOL,PENTYLENE GLYCOL,BUTYLENE GLYCOL,ALOE BARBADENSIS LEAF JUICE,CARBOMER,CITRIC ACID,PEG-60 HYDROGENATED CASTOR OIL,PHENOXYETHANOL,POTASSIUM SORBATE,SODIUM BENZOATE,THERMUS THERMOPHILLUS FERMENT,TOCOPHEROL,TRIETHANOLAMINE,PARFUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Sodium Lauryl Ether Sulphate,Cocamidopropyl Betaine,Polyquaternium 7,Cocamide DEA,Cetrimonium Chloride,Glycerin,Propylene Glycol,Phenoxyethanol,Ethylexylglycerin,Fragrance,Polyquaternium 10,EDTA,Vaccinium Myrtillus Fruit Extract,Prunus Dulcis,Propyleneglycol,Aqua,Isopropyl Miristate,Lecithin,Sucrose,Fenoxiethanol,Glycol Stearate,Sodium Laureth Sulfate,CI42090,CI19140,CI17200,CI16255,CI15850,CI14700,Benzyl Salicylate,Linalool,Butylphenyl Methylpropional,,,,,,,,,,,,,,,,,,,,,,,,
Water,Cetyl Alcohol,Coconut Oil,Cetrimonium Chloride,Glyceryl Monostearate,Glycerin,Fragrance,Phenoxyethanol and Ethylexylglycerin,Prunus Dulcis,Propyleneglycol,Aqua,Isopropyl Miristate,Lecithin,Sucrose,Fenoxiethanol,Salvia Hispánica Seed Extract,CI42090,CI19140,CI17200,CI16255,CI15850,CI14700,Benzyl Salicylate,Butylphenyl Methylpropional,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,rosa damascena,glycerin,cocamido propyl betaine,gossypium herbaceum extract,“vaccinium macrocarpon extract,phenyl salicylate,chloroxylenol,phenoxyethanol,farnesol,dibromohexamidine isethionate,peg 40 hydrogenated castor oil,ethanol,chlorphenesin,water,polyaminopropyl biguanide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water,cocamido propyl betaine,cetearyl alcohol,ceteareth 20,glycerin,propyleneglycol,arctium majus root extract,juniperus communis fruit extract,gentiana lutea root extract,Thymus vulgaris (tomillo/thyme) extract,citrus medica limonum peel extract,phenoxyethanol,polyacrylate crosspolymer 6,chamomilla recutita flower extract,lavandula angustifolia extract,phenyl salicylate,chloroxylenol,phenoxyethanol,farnesol,dibromohexamidine,Sodium Isethionate,polyaminopropyl biguanide,PEG 40 hydrogenated castor oil,ethanol,Chlorphenesin,water,Melaleuca alternifolia oil,citrus limon peel oil,citral,limonene,,,,,,,,,,,,,,,,,,,,,,,,,,
water,rosa centifolia flower extract,glycerin,sodium hyaluronate,caesalpinia spinosa gum,hydrolyzed caesalpinia spinosa gum,sodium acrylates copolymer,lecithin,phenyl salicylate,chloroxylenol,phenoxyethanol,farnesol,dibromohexamidine isethionate,poliaminopropyl biguanide,PEG 40 hydrogenated castor oil,ethanol,Chlorphenesin,water,tocopheryl acetate,rosa damascena oil,lactic acid,glycolic acid copolymer,palmitoyl tetrapeptide 50,polyvinyl alcohol heptapeptide 15 palmitate,alphaisomethyl ionone,citronelool,eugenol,geraniol,linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,aqua,calendula officinalis flower extract,camellia sinensis leaf extract,simmondsia chinensis seed oil,triticum vulgare germ oil,glycerin,hydroxyethyl cellulose,lavandula angustifolia oil,cymbopogon martini oil,chamomilla recutita oil,pelargonium graveolens oil,etilhexil glycerin,tocopheryl acetate,benzyl alcohol,dehydro acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite de germen de trigo,aceite de rosa mosqueta,rusco,uva ursis,centella asiatica,algas,arnica,malvavisco,té verde. Aceites esenciales de romero,naranja,jengibre,tea tree,lemongraas,palo santo,ciprés,eucaliptus,lavanda,hinojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Cetearyl alcohol,cetyl alcohol,carboxymethyl cellulose,Glycerin,RETINOL,Simmondsia Chinensis seed oil,Bambusa vulgaris extract,benzyl alcohol,polysorbate 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Cetearyl alcohol,Sucrose cocoate,Glycerin,Cetyl alcohol,Capric Triglyceride,Glycerin,Alcohol,Sodium PCA,Plantago lanceolata leaf extract,stem extract,Verbascum thapsus extract,Achyrocline satureiodes flower extract,Sodium Hyaluronate,Dehydroacetic acid,Benzyl alcohol,Ethylhexylglycerin,Hydroxyethylcellulose,Fragance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Glycerin,Coco amido propil betaína,Camellia Sinensis Leaf Extract,Dehydroacetic acid,Benzyl alcohol,Ethylhexylglycerin,Fragance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Glycerin,Niacinamide,Epilobium Fleischeri Flower/Leaf/Stem Extract,Propylene glycol,Coco amido propil betaína,Achyrocline Satureiodes Flower Extract,Hydroxyethylcellulose,Dehydroacetic acid,Benzyl alcohol,Ethylhexylglycerin,Theobroma cacao extract,Vaccinium Myrtillus Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Coco amido propil betaína,Glycerin,Leaf Extract,Dehydroacetic acid,Benzyl alcohol,Ethylhexylglycerin,Tocopheryl acetate,water,Fragance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,Rosa Moschata Seed Oil,Hydrolyzed Collagen,Lecithin,Cholesterol,Tocopheryl Acetate,Aloe Barbadensis Leaf Extract,Calendula Officinalis Flower Oil,Centella Asiatic Extract,Cetyl Alcohol,Cetearyl Olivate,Sorbitan Olivate,Sodium Levulinate,Potassium Sorbate,Phenoxyethanol,Ethylhexylglycerin,Ascorbic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflower Seed Oil Cetyl Esters,Bis-Diglyceryl Polyacyladipate 2,Simmondsia Chinensis Seed Oil,Calendula Officinalis Flower Oil,Lavandula Angustifolia Flower Extract,Tocopherol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,Rosa moschata seed oil,Glycerin,Cetyl Alcohol,Cetaryl olívate,Zingiber Officinale Root Extract,Phenoxyethanol ethylexynGlycerin,Tocopheryl acetate,Citrus limonum,Santalum álbum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,Prunus Amygdalus Dulcis Oil,Simmondsia chinensis seed oil,Glycerin,Cetyl Alcohol,Cetearyl olivate,Phenoxyethanol,Tocopheryl acetate,citrus aurantium dulcis peel oil,Prunus amygdalus dulcis oil,ethylhexylGlycerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,Butyrospermum parkii butter,Coconut oil,Glycerin,Cetyl Alcohol,Cetaryl olívate,Aloe barbadensis leaf extract,Phenoxyethanol ethylexynGlycerin,Tocopheryl acetate,Lavandula agustifolia oil,Athemis nobilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Niacinamide,Glycerin,Macrocystis Pyrifera Extract,Chamomilla Recutita Extract,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Coco,Betaine,Lauramine Oxide,Silicone Fluid,Lanolin,Sodium Chloride,Cocamide DEA,Methylchloroisothiazolinone,Methylisothiazolinone,Fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Cetearyl Alcohol,,Charcoal Powder,Mineral oil,Propylene glycol,Glycerin,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Propylene glycol,Cetearyl Alcohol,,Resveratrol,Cyclomethicone,Seed Oil,Collagen,Retinol Palmitate,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Propylene glycol,Cetearyl Alcohol,,Cyclomethicone,Simmondsia Chinensis ( Jojoba),Tocopherol,Seed Oil,Butyrospermum parkii Butter,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite de Semilla de Sclerocarya Birrea,Aceite de Persea Americana,Aceite de Olea europaea,Extracto de Calendula officinalis,Aceite de Semilla de Oryza sativa,Palmitato de ascorbilo,Tocoferol,Extracto de Hoja de Rosmarinus officinalis,Aceites Esenciales de Boswellia serrata,Boswellia carterii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua destilada,Extracto de Flor de Hibiscus sabdariffa,Extracto de hoja de Aloe barbadensis,Extracto de Punica granatum,Lactobacillus,Saccharomyces,Salvado de Arroz,Filtrado del Fermento de los Brotes de Tagetes erecta,Glicerina vegetal,Hidroxipropiltrimonio de Miel,Citrato de sodio,Extracto de Opuntia tuna,Extracto de Phoenix dactylifera,Extracto de Averrhoa carambola,Extracto de Raíz,Extracto de Pouteria sapota,Extracto de Corteza de Salix alba,Alcohol Bencílico,Ácido Dehidroacético,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite de Prunus dulcis,Aceite de Cocos nucifera,Aceite Schinziophyton rautanenii,Aceite de Olea europaea,Aceite de Semilla de Helianthus annuus,Extracto de Hoja de Aloe barbadensis,Aceites Esenciales de Pogostemon cablin,Pelargonium graveolens,Escualeno Vegetal,Ácido Ascórbico,Extracto de Rosmarinus officinalis,Tocoferol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manteca de Theobroma cacao,Aceite de Prunus dulcis,Aceite de Olea europaea,Manteca de Butyrospermum parkii,Aceite de Persea americana,Cera alba,Cera de Euphorbia cerifera,Aceite de Andanonsia digitata,Aceites Esenciales de Citrus reticulata,Semilla de Daucus carota,Ácido Ascórbico,Extracto de Rosmarinus officinalis,Tocoferol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leche Saponificada de Cabra,Aceite saponificado de Olea europaea,Aceite Saponificado de Cocos nucifera,Aceite Saponificado de Elaeis guineensis,Aceite saponificado de semilla de Helianthus annuus,Manteca saponificada de Theobroma cacao,Aceites esenciales de Citrus sinensis,Cananga odorata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua,Alcohol,Extracto de hojas de rosa mosqueta,Agua destilada de hamamelis,Zumo de limón,Fragrance,Limonene,Linalool,Geraniol,Citral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Prunus Amygdalus Dulcis oil,Glyceryl Stearate Se,Alcohol,Prunus Domestica Seed Oil,Xanthan Gum,Lactic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Sesamum Indicum Seed Oil,Alcohol,Simmondsia Chinensis Seed Oil,Lysolecithin,Fragrance,Glyceryl Stearate SE,Hamamelis Virginiana Water,Iris Germanica Root Extract,Xanthan Gum,Limonene,Linalool,Citronellol,Geraniol,Citral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Glycerin,Alcohol,Coco-Glucoside,Fragrance,Xanthan Gum,Sodium Cocoyl Glutamate,Salix Alba Bark Extract,Glycyrrhiza Glabra Root Extract,Hamamelis Virginiana Water,Carrageenan,Tocopherol,Lecithin,Citric Acid,Glyceryl Oleate,Hydrogenated Palm Glycerides Citrate,Ascorbyl Palmitate,Limonene,Linalool,Citral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Alcohol,Aloe Barbadensis Leaf Juice,Glycerin,Betaine,Opuntia Ficus-Indica Stem Extract,Hamamelis Virginiana Water,Sea Salt,Galactoarabinan,Citric Acid,Cocoyl Proline,Glyceryl Caprylate,Fragrance,Limonene,Linalool,Citronellol,Geraniol,Citral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Simmondsia Chinensis Seed Oil,Alcohol,Glycerin,Glyceryl Linoleate,Hamamelis Virginiana Water,Hydrolyzed Beeswax,Magnesium Aluminum Silicate,Calendula Officinalis Extract,Iris Germanica Root Extract,Xanthan Gum,Sodium Beeswax,Fragrance,Limonene,Linalool,Citronellol,Geraniol,Citral,Eugenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Prunus Amygdalus Dulcis Oil,Alcohol,Butyrospermum Parkii Butter,Theobroma Cacao Seed Butter,Glyceryl Stearate SE,Glycerin,Hydrolyzed Beeswax,Iris Germanica Root Extract,Chamomilla Recutita Flower Extract,Calendula Officinalis Flower Extract,Limonene,Linalool,Citronellol,Benzyl Alcohol,Geraniol,Citral,Eugenol,Farnesol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,Water,Triethyl Citrate,Fragrance,Sodium Caproyl Lauroyl Lactylate,Salvia Officinalis Oil,Ammonium Glycyrrhizate,Limonene,Linalool,Benzyl Benzoate,Geraniol,Coumarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Alcohol,Triethyl Citrate,Glycerin,Fragrance,Sodium Caproyl Lauroyl Lactylate,Glycyrrhiza Glabra Root Extract,Hamamelis Virginiana Water,Acacia Senegal Gum,Xanthan Gum,Citric Acid,Phytic Acid,Limonene,Citronellol,Benzyl Benzoate,Benzyl Salicylate,Geraniol,Citral,Coumarin,Farnesol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Alcohol,Triethyl Citrate,Glycerin,Limonene,Sodium Caproyl Lauroyl Lactylate,Punica Granatum Seed Oil,Glycyrrhiza Glabra Root Extract,Hamamelis Virginiana Water,Acacia Senegal Gum,Xanthan Gum,Citric Acid,Phytic Acid,Fragrance,Linalool,Citronellol,Benzyl Benzoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Helianthus Annuus Seed Oil,Theobroma Cacao Seed Butter,Glycerin,Glyceryl Stearate,Citrate Butyrospermum Parkii Butter,Stearic Acid,Palmitic Acid,Pentylene Glycol,Rosmarinus Officinalis Leaf Extract,Chamomilla Recutita Flower Extract,Calendula Officinalis Flower Extract,Viola Tricolor Extract,Alcohol,Betaine,Carrageenan,Xanthan Gum,Lactic Acid,Glyceryl Caprylate,Sodium Lauroyl Lactylate,Fragrance,Limonene,Linalool,Benzyl Benzoate,Geraniol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,Sesamum Indicum Seed Oil,Helianthus Annuus Petal Extract,Lanolin,Hydrolyzed Beeswax,Beeswax,Glyceryl Linoleate,Prunus Amygdalus Dulcis Fruit Extract,Calendula Officinalis Flower Extract,Fragrance,Limonene,Citronellol,Benzyl Alcohol,Geraniol,Citral,Eugenol,Farnesol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
