ingredient 1,ingredient 2,ingredient 3,ingredient 4,ingredient 5,ingredient 6,ingredient 7,ingredient 8,ingredient 9,ingredient 10,ingredient 11,ingredient 12,ingredient 13,ingredient 14,ingredient 15,ingredient 16,ingredient 17,ingredient 18,ingredient 19,ingredient 20,ingredient 21,ingredient 22,ingredient 23,ingredient 24,ingredient 25,ingredient 26,ingredient 27,ingredient 28,ingredient 29,ingredient 30,ingredient 31,ingredient 32,ingredient 33,ingredient 34,ingredient 35,ingredient 36,ingredient 37,ingredient 38,ingredient 39,ingredient 40,ingredient 41,ingredient 42,ingredient 43,ingredient 44,ingredient 45,ingredient 46,ingredient 47,ingredient 48,ingredient 49,ingredient 50,ingredient 51,ingredient 52,ingredient 53,ingredient 54,ingredient 55,ingredient 56,descripcion
Sodium Palmate,Sodium Stearate,Sodium Palm Kernelate,Aqua/Water,Glycerin,Parfum/Fragance,Capryloyl GLYCINE,Salicylic Acid,Ci 77891,Titanium Dioxide,EDTA,Etidronic acid,Phenoxyethanol,Salicylic Acid,Sodium chloride,Sodium Hydroxide,Zinc PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFFACLAR CONCENTRADO SABONETE EM BARRA ANTIOLEOSIDADE LA ROCHE 70G
Aqua,GLYCERIN,PETROLATUM,DICAPRYLYL ETHER,DIMETHICONE,GLYCERYL STEARATE,CETYL ALCOHOL,HELIANTHUS ANNUUS SEED OIL,PEG-30 STEARATE,ACRYLATES/C10- 30 ALKYL ACRYLATE CROSSPOLYMER,BENZYL ALCOHOL,BHT,CARBOMER,DIMETHICONOL,DISODIUM EDTA,PHENOXYETHANOL,PROPYLENE GLYCOL,PRUNUS AMYGDALUS DULCIS OIL,SODIUM HYDROXIDE,TOCOPHEROL,TOCOPHERYL ACETATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETAPHIL CREME HIDRATANTE BODY PELE EXTREMAMENTE SECA E SENSIVEL 453G
Aqua / Water,PEG-7 GLYCERYL COCOATE,DISODIUM COCOAMPHODIACETATE,COCO-BETAINE,SODIUM LAURETH SULFATE,PEG-60 HYDROGENATED CASTOR OIL,SODIUM CHLORIDE,PEG-200 HYDROGENATED GLYCERYL PALMATE,GLYCOL DISTEARATE,SODIUM GLYCOLATE,CETEARETH-60 MYRISTYL GLYCOL,CITRIC ACID,GLYCERIN,NIACINAMIDE,PARFUM / FRAGRANCE,,PEG-75 SHEA BUTTER GLYCERIDES,POLYQUATERNIUM-7,PPG-5-CETETH-20,PROPYLENE GLYCOL,SODIUM BENZOATE,SODIUM HYDROXIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIPIKAR SURGRAS SABONETE LIQUIDO CONCENTRADO ANTIRRESSECAMENTO LA ROCHE 400ML PUMP
Aqua / Water,GLYCERIN,DIMETHICONE,HYDROGENATED POLYISOBUTENE,PROPYLENE GLYCOL,HYDROXYPROPYL TETRAHYDROPYRANTRIOL,Alcohol Denat,PROPANEDIOL,PANTHENOL,SYNTHETIC WAX,NYLON-12,PEG-10 DIMETHICONE,DIMETHICONE/PEG-10/15 CROSSPOLYMER,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,SODIUM CITRATE,SODIUM HYALURONATE,SODIUM POLYACRYLATE,ADENOSINE,DISODIUM EDTA,PROPYLENE CARBONATE,HYDROLYZED HYALURONIC A C I D,DIPROPYLENE GLYCOL,DISTEARDIMONIUM HECTORITE,TOCOPHEROL,PHENOXYETHANOL,CHLORPHENESIN,PARFUM / FRAGRANCE,(CODE FIL : B212261/1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,CREME ANTI-IDADE HYALU B5 REPAIR
Aqua / Water,SODIUM LAURETH SULFATE,COCAMIDOPROPYL BETAINE,COCAMIDE DIPA,GLYCERIN,SODIUM CHLORIDE,CAPRYLOYL GLYCINE,CAPRYLOYL SALICYLIC ACID,CITRIC ACID,GLYCERYL LAURATE,HEXYLENE GLYCOL,IODOPROPYNYL BUTYLCARBAMATE,ISOPROPYL ALCOHOL,PEG-4,PEG-4 DILAURATE,PEG-4 LAURATE,PIROCTONE OLAMINE,POLYQUATERNIUM-10,SALICYLIC ACID,SODIUM ACETATE,SODIUM BENZOATE,SODIUM HYDROXIDE,ZINC PCA,PARFUM/FRAGANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAMPOO ANTICASPA KERIUM - 200ML
Aqua,Glycerin,Dicaprylyl Ether,Butylene Glycol,Isopropyl Isostearate,Cetyl Alcohol,Behenyl Alcohol,Silica,Cyclohexasiloxane,Carbomer,Ammonium Acryloyldimethyltaurate/Vp Copolymer,Phenoxyethanol,Glycine Soja Oil,Cetearyl Alcohol,Poloxamer 338,Stearic Acid,Palmitic Acid,Phospholipids,Parfum,Disodium Stearoyl Glutamate,Caprylyl Glycol,Sodium Hydroxide,PEG-100 Stearate,Salicylic Acid,Chlorphenesin,Panax Ginseng Root Extract,Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,PEG-12 Dimethicone,Polysilicone-11,Cetearyl Glucoside,Ruscus Aculeatus Root Extract,Sodium Hyaluronate,Pentylene Glycol,Secale Cereale Seed Extract,Zingiber Officinale Root Extract,Disodium EDTA,Adenosine,Myristic Acid,Isobutane,t-Butyl Alcohol,,,,,,,,,,,,,,,,,The Body Shop Creme Firmador Facial Roots Of Strength
Aqua,GLYCERIN,CETEARYL ALCOHOL,PROPYLHEPTYL CAPRYLATE,SODIUM ACRYLATES COPOLYMER,PHENOXYETHANOL,BUTYROSPERMUM PARKII BUTTER,LECITHIN,HYDROXYACETOPHENONE,SORBITOL,SODIUM GLUCONATE,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,CI 14700,CI 19140,SODIUM CHLORIDE,SODIUM SULFATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Body Shop Creme para as mãos Flores de Lolita
Aqua/Water/Eau,Cetearyl Alcohol,Behentrimonium Chloride,Cetyl Esters,Glycine Soja Oil/Soybean Oil,Parfum/Fragrance,Glycerin,Isopropyl Alcohol,Phenoxyethanol,Fragaria Vesca Juice/Strawberry Juice,Aloe Barbadensis Leaf Juice Powder,Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,Chlorhexidine Digluconate,Citric Acid,Salicylic Acid,CI 14700/Red 4,CI 19140/Yellow 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Condicionador De Morango
Aqua,Phenoxyethanol,Trisodium Ethylenediamine Disuccinate,Amodimethicone,Peg-40 Hydrogenated Castor Oil,Benzyl Alcohol,Polyquaternium-11,Citric Acid,Parfum,Panthenyl Ethyl Ether,Panthenol,Ethylhexylglycerin,Trideceth-12,Cetrimonium Chloride,Hexyl Cinnamal,Histidine,Hydroxycitronellal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantene TRATAMENTO CAPILAR MICRO-BLINDAGEM
Aqua,WATER,CETEARYL ALCOHOL,PARAFFINUM LIQUIDUM,MIREAL OIL,SUGAR CANE EXTRACT,SODIUM BENZOATE,OLEA EUROPEA OIL,OLIVE OIL FRUIT,ARGANIA SPINOSA OIL,BENZYL ALCOHOL,ALPHA-ISOMETHYL IONONE,CITRIC ACID,Butylphenyl METHYLPROPIONAL,LEMON PEEL EXTRACT,AMYL CINNAMAL,PARFUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garnier Creme de Pentear Fructtis óleo Blindagem
Aqua,SODIUM LAURETH SULFATE,COCAMIDOPROPYL BETAINE,GLYCOL DISTEARATE,PARFUM,LAVANDULA ANGUSTIFOLIA OIL,ARGANIA SPINOSA KERNEL OIL,COCOS NUCIFERA OIL,SODIUM BENZOATE,POLYQUATERNIUM-10,COCAMIDE MEA,DISODIUM EDTA,CITRONELLOL,COUMARIN,LIMONENE,LINALOOL,PPG-9,SODIUM CHLORIDE,CITRIC ACID,SODIUM HYDROXIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love Beauty & Planet óleo de argan & lavanda shampoo
Propanediol,WATER,GLYCERIN,SODIUM STEARATE,SILICA,ZINC RICINOLEATE,PARFUM,ZEA MAYS STARCH,POLYGLYCERYL-3 CAPRATE,CITRUS GRANDIS SEED EXTRACT,SACCHAROMYCES FERMENT,SODIUM BICARBONATE,ROSA DAMASCENA FLOWER EXTRACT,ASTROCARYUM MURUMURU SEED BUTTER,COCOS NUCIFERA OIL,ALPHA-ISOMETHYL IONONE,BENZYL SALICYLATE,CITRONELLOL,COUMARIN,GERANIOL,HEXYL CINNAMAL,HYDROXYCITRONELLAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love Beauty & Planet manteiga de murumuru & rosa desodorante stick
Aqua,NIACINAMIDE,GLYCERYL STEARATE,CETEARYL ALCOHOL,GLYCERIN,PEG-20 STEARATE,HELIANTHUS ANNUUS SEED OIL,PARFUM,PHENOXYETHANOL,PARAFFINUM LIQUIDUM,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,ASTROCARYUM MURUMURU SEED BUTTER,COCOS NUCIFERA OIL,ROSA DAMASCENA FLOWER EXTRACT,ALPHA-ISOMETHYL IONONE,BENZYL SALICYLATE,CITRONELLOL,COUMARIN,GERANIOL,HEXYL CINNAMAL,HYDROXYCITRONELLAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desodorante Creme Love, Beauty And Planet Manteiga de Murumuru & Rosa"
Aqua,COCAMIDOPROPYL BETAINE,SODIUM LAUROYL ISETHIONATE,SODIUM COCOYL GLYCINATE,GLYCERIN,PARFUM,ARGANIA SPINOSA KERNEL OIL,COCOS NUCIFERA OIL,LAVANDULA ANGUSTIFOLIA OIL,PHENOXYETHANOL,PEG-150 DISTEARATE,TETRASODIUM EDTA,STEARIC ACID,IODOPROPYNYL BUTYLCARBAMATE,PPG-9,SODIUM HYDROXIDE,CITRONELLOL,COUMARIN,LIMONENE,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sabonete Líquido Love, Beauty And Planet Óleo de Argan & Lavanda"
Aqua / Water,Alcohol Denat,Octyldodecanol,Cetyl Alcohol,Isopropyl Palmitate,Polysorbate 60,Dimethicone,Ethylhexyl Methoxycinnamate,Propylene Glycol,Benzyl Alcohol,Carbomer,Sorbitan Stearate,Allantoin,Sodium Hydroxide,Bisabolol,Disodium EDTA,Parfum (Fragrance),Menthol,BHT,Linalool,Citronellol,Chamomilla Recutita (Matricaria) Flower Extract,Geraniol,Limonene,Silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISDIN Lozione Doposole
Aqua / Water,Glyceryl stearate SE,Snail secretion fi ltrate,Caprylic/capric triglyceride,Sodium stearoyl lactylate,Cetearyl alcohol,Glycerin,Coco-caprylate,Sorbitan stearate,Dicaprylyl carbonate,Panax ginseng root extract,Equisetum arvense extract,Hedera helix Ivy) leaf extract,Calendula offi cinalis fl ower extract,Sodium hyaluronate,Tocopheryl acetate,Lactic acid,Allantoin,Phenethyl alcohol,Caprylyl glycol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOEARTH LOOM CREME RICHE CREMA ALLA BAVA DI LUMACA 78%
Aqua / Water,Butylene Glycol,Glycerin,propylene glycol,alcohol,citrus grandis (grapefruit) fruit extract,caprylyl glycol,acrylates/c10-30 alkyl acrylate crosspolymer,sesamum indicum (sesame) seed oil,melia azadirachta seed oil,boswellia serrata oil,polysorbate 80,ppg-26-buteth-26,potassium hydroxide,peg-40 hydrogenated castor oil,lecithin,soy isoflavones,disodium edta,10-hydroxydecanoic acid,sebacic acid,"1,10-decanediol",bht,p-anisic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IOMA Gel Riparatore Giorno e Notte 7 x 1 ml Monodose
Aqua / Water,Sodium Lauroyl Methyl Isethionate,Cocamidopropyl Betaine,PEG-60 Hydrogenated Castor Oil,Sodium Chloride,Parfum (Fragrance),Coco-Glucoside,Propylene Glycol,Acrylates/Palmeth-25 Acrylate Copolymer,Undecylenamidopropyl Betaine,Decyl Glucoside,PEG-200 Hydrogenated Glyceryl Palmate,Glycerin,Glycol Distearate,Dipropylene Glycol,Sodium Benzoate,Citric Acid,Glyceryl Laurate,PEG-7 Glyceryl Cocoate,Polyquaternium-10,Panthenol,Polyquaternium-7,Guar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rituals Samurai Cool Hair Shampoo Rinfrescante Per Uso Quotidiano
Aqua,SODIUM LAURETH SULFATE,SODIUM COCOYL GLUTAMATE,COCAMIDOPROPYL BETAINE,DECYL GLUCOSIDE,PARFUM (FRAGRANCE),BUTYLENE GLYCOL,SALICYLIC ACID,PEG-4 DISTEARYL ETHER,PIROCTONE OLAMINE,COCO-GLUCOSIDE,GLYCERYL OLEATE,ZINC LACTATE,POLYQUATERNIUM-22,SODIUM CHLORIDE,POLYACRYLATE CROSSPOLYMER-6,LAURETH-2,PEG/PPG-120/10 TRIMETHYLOLPROPANE TRIOLEATE,ISOSTEARAMIDE MIPA,DISTEARYL ETHER,GLYCERIN,DICAPRYLYL ETHER,GLYCERYL LAURATE,COCONUT ACID,SODIUM HYDROXIDE,SODIUM BENZOATE,CITRIC ACID,HIBISCUS SABDARIFFA FLOWER EXTRACT,PHYTOSPHINGOSINE,t-BUTYL ALCOHOL,ALCOHOL,LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT,ASIATICOSIDE,POTASSIUM SORBATE,,,,,,,,,,,,,,,,,,,,,,,Uriage DS Hair Shampoo Cheratoriduttore
Aqua,SODIUM LAURETH SULFATE,SODIUM COCOYL GLUTAMATE,COCAMIDOPROPYL BETAINE,DECYL GLUCOSIDE,PARFUM (FRAGRANCE),BUTYLENE GLYCOL,PIROCTONE OLAMINE,COCO-GLUCOSIDE,GLYCERYL OLEATE,CITRIC ACID,PEG-4 DISTEARYL ETHER,ZINC LACTATE,POLYQUATERNIUM-22,SODIUM CHLORIDE,POLYACRYLATE CROSSPOLYMER-6,GLYCERIN,DISTEARYL ETHER,LAURETH-2,PEG/PPG-120/10 TRIMETHYLOLPROPANE TRIOLEATE,DICAPRYLYL ETHER,COCONUT ACID,SODIUM BENZOATE,HIBISCUS SABDARIFFA FLOWER EXTRACT,PHYTOSPHINGOSINE,t-BUTYL ALCOHOL,ALCOHOL,LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT,ASIATICOSIDE,POTASSIUM SORBATE,,,,,,,,,,,,,,,,,,,,,,,,,,,Uriage DS Hair Shampoo Antiforfora
Water / Aqua,SODIUM LAURETH SULFATE,PROPYLENE GLYCOL,COCO-GLUCOSIDE,LAURYL BETAINE,POLYSORBATE 20,ASCORBYL PALMITATE,CARAMEL,CETEARETH-60 MYRISTYL GLYCOL,CITRIC ACID,FRAGRANCE (PARFUM),GLYCERYL OLEATE,GREEN 3 (CI 42053),HYDROGENATED PALM GLYCERIDES CITRATE,HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,LECITHIN,PHENOXYETHANOL,SODIUM BENZOATE,SODIUM CHLORIDE,TOCOPHEROL,TRISODIUM ETHYLENEDIAMINE DISUCCINATE,URTICA DIOICA ROOT EXTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klorane Shampoo all’Ortica
Aqua / Water,PENTYLENE GLYCOL,ROSA DAMASCENA FLOWER WATER,PPG-26-BUTETH-26,PEG-40 HYDROGENATED CASTOR OIL,PHENOXYETHANOL,PARFUM/FRAGRANCE,SODIUM GLUCONATE,PROPANEDIOL,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,AVENA SATIVA (OAT) KERNEL EXTRACT,SODIUM HYALURONATE,LENS ESCULENTA (LENTIL) SEED EXTRACT,BENZYL ALCOHOL,SODIUM HYDROXIDE,TROPAEOLUM MAJUS FLOWER/LEAF/STEM EXTRACT,NYMPHAEA ALBA FLOWER EXTRACT,SODIUM BENZOATE,DEHYDROACETIC ACID,LINALOOL,BENZYL SALICYLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nuxe Aquabella Beauty-Revealing Essence Lozione-Essenza Rivelatrice di Bellezza
Aqua / Water,Cetearyl Ethylhexanoate,Cetearyl Alcohol,Caprylic/ Capric Triglyceride,Sesamum Indicum (Sesame) Seed Oil,Butyrospermum Parkii (Shea) Butter,Myristyl Myristate,Glycerin,Cetearyl Glucoside,Ribes Nigrum (Black Currant) Seed Oil,Helianthus Annuus (Sunflower) Seed Oil,Oryzanol,Bisabolol,Hippophae Rhamnoides Fruit Extract,Calendula Officinalis Flower Extract,Citric Acid,Tocopherol,Xanthan Gum,Phenoxyethanol,Citrus Nobilis (Mandarin Orange) Peel Oil,Anthemis Nobilis (Chamomile) Flower Oil,Sodium Hydroxymethylglycinate,Cinnamomum Camphora Linalloliferum (Ho Wood) Leaf Oil,Pelargonium Graveolens Flower Oil,Foeniculum Vulgare (Fennel) Fruit Extract,Fragrance,Rosmarinus Officinalis (Rosemary) Leaf Extract,Citronellol,Limonene,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,Ren Evercalm Latte Detergente Delicato
Water / Aqua,DIMETHICONE,METHYL TRIMETHICONE,TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER,BUTYLENE GLYCOL,PHENYL TRIMETHICONE,NEOPENTYL GLYCOL DIEPTANOATE,NIACINAMIDE,HYDROXYETHYL UREA,PPG-12/SMDI COPOLYMER,LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE,GLYCERIN,SODIUM POLYASPARTATE,PEG-10 DIMETHICONE,SIGESBECKIA ORIENTALIS (ST PAUL’S WORT) EXTRACT,POLYGONUM CUSPIDATUM ROOT EXTRACT,ACETYL HEXAPEPTIDE-8,SORBITOL,ISOPROPYL ISOSTEARATE,PPG-15 STEARYL ETHER,MICROCOCCUS LYSATE,RESVERATROL,PALMITOYL HEXAPEPTIDE-12,SALICYLIC ACID,CAFFEINE,POLYSILICONE-11,SODIUM CHLORIDE,TOCOPHERYL ACETATE,POLYMETHYL METHACRYLATE,DISTEARDIMONIUM HECTORITE,DIMETHICONE/PEG-10/15 CROSSPOLYMER,LECITHIN,TRIETHOXYCAPRYLYLSILANE,CAPRYLYL GLYCOL,ZINC STEARATE,GLYCERYL POLYMETHACRYLATE,LAURETH-7,TREHALOSE,TRIETHYL CITRATE,SODIUM HYALURONATE,DIMETHICONE SILYLATE,PEG-8,MAGNESIUM ALUMINUM SILICATE,METHICONE,ALUMINA,SILICA,PROPYLENE GLYCOL CAPRYLATE,HEXYLENE GLYCOL,XANTHAN GUM,DISODIUM EDTA,BHT,POTASSIUM SORBATE,PHENOXYETHANOL,MICA,IRON OXIDES (CI 77491),IRON OXIDES (CI 77492),Clinique Even Better Refresh Fondotinta e correttore CN 74 Beige
Aqua,G LYCERIN,Alcohol Denat,DIMETHICONE,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,PRUNUS ARMENIACA KERNEL OIL,HYDROXYETHYL UREA,BUTYROSPERMUM PARKII BUTTER,NASTURTIUM OFFICINALE EXTRACT,C12-13 PARETH-23,C12-13 PARETH-3,CERAMIDE NP,CARBOMER,ZINC GLUCONATE,GLYCINE SOJA OIL,SODIUM CHLORIDE,SODIUM HYDROXIDE,DIVINYLDIMETHICONE/DIMETHICONE COPOLYMER,"2-OLEAMIDO-1,3-OCTADECANEDIOL",CHOLESTEROL,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,DISODIUM EDTA,HYDROXYPALMITOYL SPHINGANINE,CAPRYLOYL SALICYLIC ACID,VITREOSCILLA FERMENT,CITRIC ACID,XANTHAN GUM,MENTHOXYPROPANEDIOL,ETHYLHEXYLGLYCERIN,BHT,TOCOPHEROL,TOCOPHERYL ACETATE,PHENOXYETHANOL,CHLORPHENESIN,CI 19140,CI 42090,LINALOOL,LIMONENE,CITRAL,PARFUM,,,,,,,,,,,,,,,,,Biotherm Skin Oxygen SPF 15 Crema Corpo
Aqua / Water,GLYCERIN,ISOPROPYL PALMITATE,CETEARYL ALCOHOL,GLYCERYL STEARATE,DIMETHICONE,PARFUM / FRAGRANCE,CETYL ESTERS,PHENOXYETHANOL,PEG-100 STEARATE,PRUNUS ARMENIACA KERNEL OIL / APRICOT KERNEL OIL,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,SODIUM POLYACRYLATE,CAPRYLYL GLYCOL,LINALOOL,CORIANDRUM SATIVUM SEED OIL / CORIANDER SEED OIL,LIMONENE,CITRAL,RIBES NIGRUM SEED OIL / BLACK CURRANT SEED OIL,ZINGIBER OFFICINALE ROOT EXTRACT / GINGER ROOT EXTRACT,ECHIUM PLANTAGINEUM SEED OIL,PENTYLENE GLYCOL,EUGENOL,MENTHA PIPERITA EXTRACT / PEPPERMINT EXTRACT,GERANIOL,VITREOSCILLA FERMENT,TOCOPHEROL,GLYCINE SOJA OIL / SOYBEAN OIL,ASCORBYL PALMITATE,CITRIC ACID,(FIL B215412/1),,,,,,,,,,,,,,,,,,,,,,,,,,Biotherm Bath Therapy Invigorating Blend Crema corpo rinvigorente
Aqua / Water,SODIUM LAURETH SULFATE,GLYCERIN,COCAMIDE MEA,PERLITE,ACRYLATES COPOLYMER,SODIUM CHLORIDE,COCO-BETAINE,PARFUM / FRAGRANCE,SODIUM HYDROXIDE,PPG-5-CETETH-20,CITRIC ACID,SODIUM BENZOATE,ARGANIA SPINOSA SHELL POWDER,SALICYLIC ACID,LINALOOL,LIMONENE,CITRAL,ZINGIBER OFFICINALE ROOT EXTRACT / GINGER ROOT EXTRACT,CI 19140 / YELLOW 5,PENTYLENE GLYCOL,MENTHA PIPERITA EXTRACT / PEPPERMINT EXTRACT,VITREOSCILLA FERMENT,CI 42090 / BLUE 1,(C214891/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotherm Bath Therapy Invigorating Blend Body Smoothing Scrub
Aqua / Water,Hexylene Glycol,Glycerin,Betaine,Polyglyceryl-4 Laurate/Sebacate,Polyglyceryl-6 Caprylate/Caprate,Cetrimonium Bromide,Disodium EDTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISDIN MICELLAR SOLUTION
Aqua,GLYCERIN,CETEARYL ETHYLHEXANOATE,HELIANTHUS ANNUUS SEED OIL,PARFUM,OLEA EUROPAEA OIL,STEARIC ACID,LIMONENE,CETYL ALCOHOL,PALMITIC ACID,PHENOXYETHANOL,CARBOMER,ISOPROPYL MYRISTATE,SODIUM LAUROYL OAT AMINO ACIDS,TOCOPHERYL ACETATE,CAPRYLYL GLYCOL,PANTHENOL,GLYCERYL STEARATE,SODIUM HYDROXIDE,DISODIUM EDTA,ALPHA-ISOMETHYL IONONE,HEXYL CINNAMAL,BHT,XANTHAN GUM,"2-OLEAMIDO-1,3-OCTADECANEDIOL",LINALOOL,CITRAL,GERANIOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotherm Eau Vitaminée latte idratante tonificante corpo
Aqua / Water,GLYCERIN,ISOPROPYL PALMITATE,CETEARYL ALCOHOL,GLYCERYL STEARATE,DIMETHICONE,PARFUM / FRAGRANCE,CETYL ESTERS,PHENOXYETHANOL,PEG-100 STEARATE,PRUNUS ARMENIACA KERNEL OIL / APRICOT KERNEL OIL,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,SODIUM POLYACRYLATE,CAPRYLYL GLYCOL,CORIANDRUM SATIVUM SEED OIL / CORIANDER SEED OIL,CITRONELLOL,HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL,RIBES NIGRUM SEED OIL / BLACK CURRANT SEED OIL,ECHIUM PLANTAGINEUM SEED OIL,ROSMARINUS OFFICINALIS LEAF EXTRACT / ROSEMARY LEAF EXTRACT,LYCIUM BARBARUM FRUIT EXTRACT,VITREOSCILLA FERMENT,TOCOPHEROL,SODIUM BENZOATE,LACTIC ACID,POTASSIUM SORBATE,GLYCINE SOJA OIL / SOYBEAN OIL,ASCORBYL PALMITATE,CITRIC ACID,(FIL B215432/1),,,,,,,,,,,,,,,,,,,,,,,,,,,Biotherm Bath Therapy Relaxing Blend Body Hydrating Cream Infused
Aqua,DIMETHICONE,HYDROXYETHYL UREA,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,NIACINAMIDE,BUTYLENE GLYCOL,GLYCERIN,Alcohol Denat,CAPRYLIC/CAPRIC TRIGLYCERIDE,SORBITAN PALMITATE,GLYCINE,POLYMETHYLSILSESQUIOXANE,PHENOXYETHANOL,SODIUM LACTATE,CETYL ALCOHOL,CARBOMER,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,SODIUM STEAROYL GLUTAMATE,STEARIC ACID,TRIETHANOLAMINE,PALMITIC ACID,DIMETHICONOL,CHLORPHENESIN,PEG-100 STEARATE,GLYCERYL STEARATE,DISODIUM EDTA,SODIUM HYALURONATE,PARAFFINUM LIQUIDUM,VITREOSCILLA FERMENT,LINALOOL,MYRISTIC ACID,SORBITAN ISOSTEARATE,POLYSORBATE 60,LIMONENE,CITRONELLOL,GERANIOL,PADINA PAVONICA THALLUS EXTRACT,ISOEUGENOL,PARFUM,FIL C195860/1,,,,,,,,,,,,,,,,,Biotherm Corpo - Skin Fitness Instant Smoothing&Moisturizing Body Treatment
Aqua,Alcohol Denat,DIMETHICONE,PROPYLENE GLYCOL,VP/DIMETHYLAMINOETHYLMETHACRYLATE COPOLYMER,C13-14 ISOPARAFFIN,PVM/MA DECADIENE CROSSPOLYMER,TRIETHANOLAMINE,DIMETHICONOL,METHYLSILANOL MANNURONATE,SODIUM HYALURONATE,"2-OLEAMIDO-1,3-OCTADECANEDIOL",HYDROXYPROLINE,CAPRYLYL GLYCOL,CARRAGEENAN,VITREOSCILLA FERMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotherm - Super bust tense-in-serum - crema seno rassodante
Aqua,GLYCERIN,Alcohol Denat,ISOPROPYL PALMITATE,CITRUS AURANTIUM DULCIS OIL,BUTYROSPERMUM PARKII BUTTER,C12-13 ALKYL LACTATE,SODIUM POLYACRYLATE,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,CAPRYLYL GLYCOL,VITREOSCILLA FERMENT,CITRIC ACID,T-BUTYL ALCOHOL,PHENOXYETHANOL,CI 42090,LINALOOL,LIMONENE,CITRAL,PARFUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotherm Aqua-gelee gel corpo
Aqua / Water,Urea,Cetearyl Ethylhexanoate,Panthenol,Glyceryl Stearate,PEG-40 Stearate,Glycerin,Dimethicone,Persea Gratissima (Avocado) Oil,Shorea Stenoptera Seed Butter,Phenoxyethanol,Cetyl Alcohol,Octyldodecanol,Carbomer,Palmitic Acid,Stearic Acid,Disodium EDTA,Ethylhexylglycerin,Parfum (Fragrance),Sodium Hydroxide,BHT,Lactic Acid,Limonene,Hexyl Cinnamal,Alpha-Isomethyl Ionone,Linalool,Benzyl Salicylate,Eugenol,Citral,Hydroxycitronellal,Coumarin,,,,,,,,,,,,,,,,,,,,,,,,,,URADIN LOTION10 BODY LOTION
