codigo,descripcion,presentacion,rubro_id,observaciones,numero_ingredientes,x0,x1,x2,x3,x4
4005808352630,NIVEA Crema Corporal Hidratación express,250 ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,Humectación profunda de rápida absorción 48 hs.,14,,,,,
7792640001174,Capilatis Spray puro rubio aclarante instantaneo,240 ml,Cuidado Personal;Cuidado del cabello;Colorante,Sin parabenos-sin alcohol,8,,,,,
7793008015949,Roby GEL fijador,180 gr,Cuidado Personal;Cuidado del cabello;Fijación,,15,,,,,
7796045770031,Tortulan leche desmaquillante ojo y rostro,200 ml,Cuidado Personal;Cuidado Facial;Limpieza Facial,Oftalmologicamente testeado,27,,,,,
7798111210663,Nic Frizz mine itor reparador antifrizz,200 ml,Cuidado Personal;Cuidado del cabello;Fijación,"No testeado en animales, apto vegano",24,,,,,
7506309840628,Pantene Anti-Frizz Crema para peinar,300 ml,"Cuidado Personal,Cuidado del Cabello;Crema para peinar",Sin adición de NaCl,27,,,,,
7791293037646,Lux flor de vainilla jabón con glicerina,125 g,Cuidado personal;Cuidado corporal;Jabones,Contiene ACEITES HIDRAFLORES,26,,,,,
7798135967109,Fidelité gel modelador fijación extrema,230 ml,Cuidado Personal;Cuidado del cabello;Fijación,Fijación Extrema,12,,,,,
7798135960148,Fidelité Shampoo cremoso coloración premium,1000 ml,Cuidado Personal;Cuidado del cabello;Shampoo,Uso profesional exclusivo,17,,,,,
303757,La Roche-Posay Toleriane sensitive fluide,15 ml,Cuidado personal;Cuidado facial;Hidratantes,,10,,,,,
7793008007135,Issue Professional Acondicionador,900 ml,Cuidado Personal;Cuidado del cabello;Acondicionador,,10,,,,,
779610,Issue Professional Shampoo Neutro,900 ml,Cuidado Personal;Cuidado del cabello;Shampoo,,11,,,,,
779611,Issue Professional Shampoo Post Color,900 ml,Cuidado Personal;Cuidado del cabello;Shampoo,,13,,,,,
8412300813006,Nivea Men Bálsamo After Shave,100 ml,Cuidado personal;Cuidado facial;Hidratantes,,18,,,,,
779613,Issue Professional Shampoo Golden Blonde,900 ml,Cuidado Personal;Cuidado del cabello;Shampoo,,15,,,,,
7509552917413,L'oreal Magic Retouch rubio claro corbertura temporal de canas,75 ml,"Cuidado del cabello, tintura","Aerosol,duración 1 shampoo",11,,,,,
77944640171222,Hinds Crema Corporal,250 ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,Fórmula Doble Vit A para piel seca,23,,,,,
7506339321777,Herbal Essences Daily detox hidratación Crema para peinar,300 ml,"Cuidado Personal,Cuidado del Cabello;Crema para peinar",0% parabenos y colorantes,27,,,,,
7798121272293,Botanika Shampoo Revitalizante Uso diario- aloe vera y té blanco,350 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,"Nutre y revitaliza con activo 100% naturales, cruelty free",13,,,,,
7798121272361,"Botanika Acondicionador Cabello normal a seco- Caléndula,palta e hibiscos",350 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,"Nutre y revitaliza con activo 100% naturales, cruelty free",21,,,,,
7798216220253,Veganis plant powered repairing Shampoo,400 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,"Not just a cosmetic, coconut, calendula, & organic olive extract",12,,,,,
7798216220246,Veganis nutri- boot sublime aconicionador,400 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,cosmética sustentable,10,,,,,
7795513060254,Frenzzi Naturale Shampoo sin sulfatos,350 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,"sin sal -nutri hidratante, antioxidante,sin colorantes, vegan product,libre de parabenos, no testeado en animales, sin t.a.c.c.,libre de siliconas,sin petrolatos",21,,,,,
7798216220062,"Veganis leche ultra reafirmante para la piel coffee berry, nectarine & extracto orgánico de oliva",500 grs.,Cuidado Personal;Cuidado Corporal;Crema Corporal,"cosmética sustentable,cosmética vegana,no testeada en animales",39,,,,,
8906038786126,Sri Sri Máscara facial cúrcuma de la india,100 grs.,Cuidado personal;Cuidado facial;Hidratantes,"cutis claro,jóven y fresco. La esencia del ayurveda, libre de parabenos,no testeado en animales, 100%vegano,elaborado en india",17,,,,,
779624,Lidherma Fórmula limpieza,110 g,Cuidado personal;Cuidado Facial;Limpieza Facial,Remueve impurezas que se depositan en la piel,21,,,,,
779625,Great Lash Tejar Mascara para ojos,15.5 ml,Cuidado Personal;Cosméticos;Maquillaje,,20,,,,,
4743318182896,Organic Shop Shampoo tropical Coconut & Shea,280 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,"Natural,Softness & revival, Ingredients from organic farming.made in europe",14,,,,,
7794640610998,Hinds Crema Corporal hidratación extrema con extracto de almendras,250ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,,32,,,,,
4005900130761,NIVEA MEN CREME,150ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,"Fórmula ligera
Rápida absorcion
Sin sensación grasosa ni pegajosa
Especialmente desarollada para el hombres
Multiproposito: para cara, manos y cuerpo",22,,,,,
7897042016907,Skala Genetiqs Hidratante para el cabello,1000 grs,Cuidado Personal;Cuidado del cabello;Acondicionador,"Fuerza, brillo e hidratación, 100% vegano",15,,,,,
7795513030308,Frenzzi NATURALE acondicionador cebolla y ginseng,350 ml,Cuidado Personal;Cuidado del cabello;Acondicionador,Revitalizante y fortalecedor,20,,,,,
7795513060452,Frenzzi NATURALE crema corporal coco cebolla y ginseng,300 ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,Revitalizador estilizante,25,,,,,
7795513060261,Frenzzi NATURALE shampoo cebolla y ginseng,300 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,Limpieza profunda revitalizante,30,,,,,
7897042004966,SKALA Jaborandi y camelia hidratante,1000 grs,Cuidado Personal;Cuidado del cabello;Acondicionador,Hidratante 100% vegano,16,,,,,
7795513060391,Frenzzi Gel finalizador de lino,350 ml,Cuidado Personal;Cuidado del Cabello;Crema para peinar,Producto natural,18,,,,,
7795513060179,Frenzzi Shampoo Aloe y Salvia,500 ml,Cuidado Personal;Cuidado del Cabello;Crema para peinar,Sin sulfatos,22,,,,,
7501056346140,Dove Nourishing Body Care,200 ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,,22,,,,,
779629,Agua Calma Crema Facial de Hamamelis,50cc,Cuidado personal;Cuidado Facial;Antiacné,,14,,,,,
779630,Agua Calma Shampoo Sólido Lavanda,50gr,Cuidado Personal;Cuidado del Cabello;Shampoo,,9,,,,,
7793742007897,Dermaglós facial crema hidratante de día con FPS 12,50 gr,Cuidado Personal;Cuidado Facial;Hidratantes,"Piel sensible, Hipoalergénica",25,,,,,
779632,Dermaglós Emulsión hidratante de día con FPS 20,70 gr,Cuidado Personal;Cuidado Facial;Hidratantes,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente,No comedogénica,Sin TACC",24,,,,,
779633,Dermaglós Emulsión corporal regeneración intensiva,300 ml,"Cuidado Personal;Cuidado Corporal,Crema corporal","Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente,Sin TACC",25,,,,,
779634,dermaglós crema corporal hidratación profunda,200 gr,Cuidado Personal;Cuidado Corporal;Crema Corporal,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente,Sin TACC",23,,,,,
NREG635,Naturalis crema para peinar,,Cuidado Personal;Cuidado del cabello;Crema para peinar,Artesanal,6,,,,,
779636,Kamikase Serum Tesoro,30 grs,Cuidado personal;Cuidado facial;Hidratantes,"Pack. de vidrio,producto vegano",24,,,,,
779637,Kamikase Serum Cisne,30 ml,Cuidado personal;Cuidado facial;Hidratantes,"Pack. de vidrio,producto vegano",44,,,,,
779638,Kamikase Desodorante Natural con aloe vera,30 cc,Cuidado personal;Cuidado corporal;Desodorantes,"Pack. de vidrio,producto vegano",16,,,,,
779639,Kamikase aceite labial galaxia,10 cc,Cuidado personal;Cuidado facial;labial,"Pack. de vidrio,producto vegano",11,,,,,
779640,Kamikase srub facial almendra,100 ml,Cuidado personal;Cuidado facial;Hidratantes,"Pack. de vidrio,producto vegano",11,,,,,
779641,Kamikase pulpa de limpieza,120 grs,Cuidado personal;Cuidado facial;limpieza facial,"Pack. de vidrio,producto vegano",27,,,,,
779642,Kamikase Serum control facial,15 cc,Cuidado personal;Cuidado facial;Hidratantes,"Pack. de vidrio,producto vegano",7,,,,,
780643,Eclipse de luna botox capilar,100 grs,Cuidado personal;Cuidado facial;Hidratantes,"Pack. de vidrio,producto vegano",6,,,,,
780644,Guiv Agua Micelar,150 ml,Cuidado personal;Cuidado facial;limpieza facial,Testado dermatológicamente No contiene alcohol etílico Libre de parabenos Libre de sulfatos Libre de Siliconas No testeado en animalesI pH fisiológico Mineral oil free,10,,,,,
780945,Guiv serum x concentrado de 10 activos,15 ml,Cuidado personal;Cuidado facial;antiarrugas,"Poderoso concentrado de 10 activos que penetran las capas más profundas de la piel y la humectan. Gracias su textura ligera, se absorbe rápidamente.",14,,,,,
781246,Guiv Contorno de ojos atenea,30 ml,Cuidado personal;Cuidado facial;antiarrugas,Gel crema hidratante especialmente enriquecida a base de extracto de Hamamelis y de Malva,28,,,,,
781547,Guiv crema corporal cacao,300ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,Combate radicales libres gracias a la acción de los liposomas de vitamina E (Ecocert),31,,,,,
